Port,TCP,UDP,Description,IANA status[1]
1024,Reserved,Reserved,Reserved,Official
1027,Reserved,,Reserved,Official
1027,,Yes,Native IPv6 behind IPv4-to-IPv4 NAT Customer Premises Equipment (6a44)[118],Official
1028,,,Deprecated,Official
1029,,,Microsoft DCOM services,Official
1058,Yes,Yes,"nim, IBM AIX Network Installation Manager (NIM)",Official
1059,Yes,Yes,"nimreg, IBM AIX Network Installation Manager (NIM)",Official
1080,Yes,Yes,SOCKS proxy,Official
1085,Yes,Yes,WebObjects[10],Official
1098,Yes,Yes,"rmiactivation, Java remote method invocation (RMI) activation",Official
1099,Yes,Assigned,"rmiregistry, Java remote method invocation (RMI) registry",Official
1109,,,Reserved – IANA,Official
1109,Yes,,Kerberos Post Office Protocol (KPOP)[citation needed],Unofficial
1119,Yes,Yes,"Battle.net chat/game protocol, used by Blizzard's games[119]",Official
1167,"Yes, and SCTP",Yes,Cisco IP SLA (Service Assurance Agent),Official
1194,Yes,Yes,OpenVPN,Official
1198,Yes,Yes,The cajo project Free dynamic transparent distributed computing in Java,Official
1214,Yes,Yes,Kazaa,Official
1220,Yes,Assigned,QuickTime Streaming Server administration[10],Official
1234,Yes,Yes,Infoseek search agent,Official
1234,,Yes,VLC media player default port for UDP/RTP stream[citation needed],Unofficial
1241,Yes,Yes,Nessus Security Scanner,Official
1270,Yes,Yes,Microsoft System Center Operations Manager (SCOM) (formerly Microsoft Operations Manager (MOM)) agent,Official
1293,Yes,Yes,Internet Protocol Security (IPSec),Official
1311,Yes,Yes,Windows RxMon.exe,Official
1311,Yes,,Dell OpenManage HTTPS[120],Unofficial
1314,?,?,Festival Speech Synthesis System server[121],Unofficial
1337,Yes,,neo4j-shell[citation needed],Unofficial
1337,Yes,,WASTE Encrypted File Sharing Program[citation needed],Unofficial
1341,Yes,Yes,Qubes (Manufacturing Execution System),Official
1344,Yes,Yes,Internet Content Adaptation Protocol,Official
1352,Yes,Yes,IBM Lotus Notes/Domino (RPC) protocol,Official
1360,Yes,Yes,Mimer SQL,Official
1414,Yes,Yes,IBM WebSphere MQ (formerly known as MQSeries),Official
1417,Yes,Yes,Timbuktu Service 1 Port,Official
