Port,TCP,UDP,IANA status[1],Description
0,Reserved,Reserved,Official,
0,N/A,N/A,Unofficial,"In programming APIs (not in communication between hosts), requests a system-allocated (dynamic) port[5]"
1,Yes,Assigned,Official,"TCP Port Service Multiplexer (TCPMUX). Historic. Both TCP and UDP have been assigned to TCPMUX by IANA,[1] but by design only TCP is specified.[6]"
5,Assigned,Assigned,Official,"Remote Job Entry[7] was historically using socket 5 in its old socket form, while MIB PIM has identified it as TCP/5[8] and IANA has assigned both TCP and UDP 5 to it."
7,Yes,Yes,Official,Echo Protocol[9][10]
9,"Yes, and SCTP[11]",Yes,Official,Discard Protocol[12]
9,No,Yes,Unofficial,Wake-on-LAN[13]
11,Yes,Yes,Official,Active Users (systat service)[14][15]
13,Yes,Yes,Official,Daytime Protocol[16]
15,Yes,No,Unofficial,Previously netstat service[1][14]
17,Yes,Yes,Official,Quote of the Day (QOTD)[17]
18,Yes,Yes,Official,Message Send Protocol[18][19]
19,Yes,Yes,Official,Character Generator Protocol (CHARGEN)[20]
20,"Yes, and SCTP[11]",Assigned,Official,File Transfer Protocol (FTP) data transfer[10]
21,"Yes, and SCTP[11]",Assigned,Official,File Transfer Protocol (FTP) control (command)[10][11][21][22]
22,"Yes, and SCTP[11]",Assigned,Official,"Secure Shell (SSH),[10] secure logins, file transfers (scp, sftp) and port forwarding"
23,Yes,Assigned,Official,Telnet protocol—unencrypted text communications[10][23]
25,Yes,Assigned,Official,"Simple Mail Transfer Protocol (SMTP),[10][24] used for email routing between mail servers"
37,Yes,Yes,Official,Time Protocol[25]
38,Yes,Yes,Official,Route Access Protocol (RAP)[26][importance?]
39,Assigned,Yes,Official,Resource Location Protocol (RLP)[27][importance?]—used for determining the location of higher level services from hosts on a network
42,Assigned,Yes,Official,Host Name Server Protocol[28]
43,Yes,Assigned,Official,WHOIS protocol[29][30][31]
47,Reserved,Reserved,Official,
49,Yes,Yes,Official,"TACACS Login Host protocol.[32] TACACS+, still in draft which is an improved but dinstinct version of TACACS, only uses TCP 49.[33]"
50,Assigned,Yes,Official,Remote Mail Checking Protocol[34][importance?]
51,Reserved,Reserved,Official,"Historically used for Interface Message Processor logical address management,[35] entry has been removed by IANA on 2013-05-25"
52,Assigned,Assigned,Official,"Xerox Network Systems (XNS) Time Protocol. Despite this port being assigned by IANA, the service is meant to work on SPP (ancestor of IPX/SPX), instead of TCP/IP.[36]"
53,Yes,Yes,Official,Domain Name System (DNS)[37][10]
54,Assigned,Assigned,Official,"Xerox Network Systems (XNS) Clearinghouse (Name Server). Despite this port being assigned by IANA, the service is meant to work on SPP (ancestor of IPX/SPX), instead of TCP/IP.[36]"
56,Assigned,Assigned,Official,"Xerox Network Systems (XNS) Authentication Protocol. Despite this port being assigned by IANA, the service is meant to work on SPP (ancestor of IPX/SPX), instead of TCP/IP.[36]"
58,Assigned,Assigned,Official,"Xerox Network Systems (XNS) Mail. Despite this port being assigned by IANA, the service is meant to work on SPP (ancestor of IPX/SPX), instead of TCP/IP.[36]"
61,Reserved,Reserved,Official,"Historically assigned to the NIFTP-Based Mail protocol[38], but was never documented in the related IEN.[39] The port number entry was removed from IANA's registry on 2017-05-18.[1]"
67,Assigned,Yes,Official,Bootstrap Protocol (BOOTP) server;[10] also used by Dynamic Host Configuration Protocol (DHCP)
68,Assigned,Yes,Official,Bootstrap Protocol (BOOTP) client;[10] also used by Dynamic Host Configuration Protocol (DHCP)
69,Assigned,Yes,Official,Trivial File Transfer Protocol (TFTP)[10][40][41][42]
70,Yes,Assigned,Official,Gopher protocol[43]
71–74,Yes,Yes,Official,NETRJS protocol[44][45][46]
79,Yes,Assigned,Official,Finger protocol[10][47][48]
80,"Yes, and SCTP[11]",Assigned,Official,Hypertext Transfer Protocol (HTTP)[10][49][50][51]
80,No,Yes,Unofficial,"Quick UDP Internet Connections (QUIC), a transport protocol over UDP (still in draft as of July 2018), using stream multiplexing, encryption by default with TLS, and currently supporting HTTP/2.[52]"
81,Yes,,Unofficial,TorPark onion routing[verification needed]
82,,Yes,Unofficial,TorPark control[verification needed]
88,Yes,Assigned,Official,Kerberos[10][53][54] authentication system
